datetime,x,y
20200122 19:04,121.4805,25.0253
20200122 19:05,121.4760,25.0221
20200122 19:05,121.4763,25.0243
20200122 19:07,121.4719,25.0192
20200122 19:08,121.4703,25.0178
20200122 19:10,121.4641,25.0136
20200122 19:11,121.4617,25.0115
20200122 19:11,121.4629,25.0126
20200122 19:13,121.4525,24.9984
20200122 19:13,121.4558,25.0046
20200122 19:14,121.4521,25.0007
20200122 19:15,121.4536,25.0036
20200122 19:19,121.4560,25.0049
20200122 19:28,121.4580,25.0035
20200122 19:28,121.4565,25.0053
20200122 19:30,121.4580,25.0035
20200122 19:32,121.4561,25.0052
20200122 20:10,121.4551,25.0041
20200122 20:19,121.4598,25.0042
20200122 20:19,121.4565,25.0052
20200122 20:24,121.4525,25.0058
20200122 20:24,121.4557,25.0059
20200122 20:24,121.4525,25.0058
20200122 20:32,121.4556,25.0057
20200122 20:32,121.4525,25.0058
20200122 20:33,121.4570,25.0058
20200122 20:42,121.4557,25.0049
20200122 21:02,121.4569,25.0058
20200122 21:07,121.4554,25.0052
20200122 21:07,121.4543,25.0039
20200122 21:13,121.4571,25.0059
20200122 21:15,121.4598,25.0041
20200122 21:16,121.4561,25.0048
20200122 21:20,121.4597,25.0048
20200122 21:22,121.4594,25.0066
20200122 21:26,121.4554,25.0044
20200122 21:26,121.4595,25.0073
20200122 21:26,121.4570,25.0058
20200122 21:27,121.4551,25.0041
20200122 23:32,121.4565,25.0055
20200123 00:15,121.4581,25.0036
20200123 00:17,121.4570,25.0048
20200123 00:28,121.4597,25.0048
20200123 00:29,121.4570,25.0058
20200123 00:31,121.4597,25.0049
20200123 00:31,121.4561,25.0048
20200123 00:36,121.4597,25.0048
20200123 00:40,121.4543,25.0039
20200123 00:42,121.4553,25.0050
20200123 01:21,121.4598,25.0041
20200123 01:23,121.4561,25.0048
20200123 01:24,121.4572,25.0060
20200123 01:26,121.4597,25.0049
20200123 01:26,121.4564,25.0051
20200123 01:30,121.4597,25.0049
20200123 01:30,121.4564,25.0051
20200123 01:32,121.4597,25.0048
20200123 01:34,121.4554,25.0044
20200123 01:37,121.4597,25.0049
20200123 01:37,121.4565,25.0052
20200123 01:37,121.4597,25.0048
20200123 01:37,121.4561,25.0048
20200123 01:37,121.4597,25.0049
20200123 01:41,121.4565,25.0053
20200123 01:43,121.4596,25.0052
20200123 01:44,121.4569,25.0058
20200123 01:45,121.4597,25.0048
20200123 01:47,121.4570,25.0058
20200123 01:49,121.4597,25.0048
20200123 01:56,121.4565,25.0053
20200123 01:58,121.4597,25.0048
20200123 02:02,121.4563,25.0047
20200123 02:21,121.4579,25.0034
20200123 02:26,121.4564,25.0048
20200123 02:41,121.4596,25.0052
20200123 02:42,121.4561,25.0048
20200123 02:42,121.4598,25.0042
20200123 02:47,121.4554,25.0044
20200123 04:40,121.4570,25.0048
20200123 04:47,121.4581,25.0036
20200123 04:51,121.4570,25.0048
20200123 06:20,121.4555,25.0055
20200123 06:23,121.4598,25.0041
20200123 06:30,121.4550,25.0040
20200123 06:30,121.4580,25.0068
20200123 06:40,121.4554,25.0052
20200123 06:45,121.4543,25.0039
20200123 06:47,121.4560,25.0049
20200123 06:48,121.4598,25.0041
20200123 06:49,121.4550,25.0040
20200123 06:49,121.4541,25.0025
20200123 06:49,121.4550,25.0040
20200123 06:54,121.4596,25.0052
20200123 06:54,121.4554,25.0044
20200123 06:57,121.4597,25.0048
20200123 07:00,121.4550,25.0040
20200123 07:01,121.4596,25.0052
20200123 07:01,121.4554,25.0044
20200123 07:11,121.4598,25.0041
20200123 07:16,121.4557,25.0048
20200123 07:32,121.4548,25.0031
20200123 07:50,121.4554,25.0045
20200123 08:07,121.4601,25.0066
20200123 08:23,121.4570,25.0058
20200123 08:26,121.4554,25.0052
20200123 08:26,121.4543,25.0039
20200123 08:26,121.4554,25.0052
20200123 08:32,121.4570,25.0059
20200123 08:44,121.4552,25.0049
20200123 08:44,121.4570,25.0059
20200123 08:44,121.4554,25.0053
20200123 08:44,121.4570,25.0059
20200123 08:45,121.4555,25.0054
20200123 09:33,121.4571,25.0042
20200123 09:55,121.4554,25.0044
20200123 09:58,121.4598,25.0042
20200123 10:04,121.4564,25.0051
20200123 10:06,121.4598,25.0041
20200123 10:06,121.4561,25.0048
20200123 10:06,121.4596,25.0052
20200123 10:08,121.4564,25.0051
20200123 10:11,121.4598,25.0041
20200123 10:13,121.4565,25.0052
20200123 10:18,121.4598,25.0041
20200123 10:25,121.4556,25.0044
20200123 10:27,121.4597,25.0049
20200123 10:29,121.4554,25.0044
20200123 10:32,121.4597,25.0048
