datetime,x,y,seq,village
20200117 13:47,120.3235,23.4554,984,太保市太保里
20200117 13:49,120.3253,23.4711,985,太保市後庄里
20200117 13:49,120.3252,23.4579,986,太保市太保里
20200117 13:54,120.3230,23.4569,992,太保市太保里
20200117 14:00,120.3147,23.4746,1006,太保市東勢里
20200117 14:00,120.3269,23.4587,1007,太保市太保里
20200117 14:00,120.3251,23.4909,1008,太保市田尾里
20200117 14:00,120.3233,23.4558,1009,太保市太保里
20200117 14:02,120.3319,23.4970,1011,太保市田尾里
20200117 14:02,120.3261,23.5029,1012,太保市田尾里
20200117 14:03,120.3319,23.5180,1013,新港鄉溪北村
20200117 14:03,120.3274,23.5379,1014,新港鄉潭大村
20200117 14:04,120.3302,23.5566,1015,新港鄉共和村
20200117 14:04,120.3288,23.5494,1016,新港鄉潭大村
20200117 14:04,120.3296,23.5533,1017,新港鄉共和村
20200117 14:04,120.3295,23.5697,1018,新港鄉板頭村
20200117 14:05,120.3309,23.6038,1021,元長鄉下寮村
20200117 14:05,120.3299,23.5893,1022,北港鎮府番里
20200117 14:05,120.3331,23.5970,1023,北港鎮府番里
20200117 14:05,120.3329,23.6101,1024,元長鄉下寮村
20200117 14:05,120.3339,23.6149,1025,元長鄉下寮村
20200117 14:05,120.3331,23.5970,1026,北港鎮府番里
20200117 14:05,120.3328,23.6095,1027,元長鄉下寮村
20200117 14:06,120.3458,23.6295,1028,元長鄉客厝村
20200117 14:06,120.3513,23.6316,1029,元長鄉瓦瑤村
20200117 14:06,120.3520,23.6372,1030,元長鄉瓦瑤村
20200117 14:06,120.3453,23.6413,1033,元長鄉卓運村
20200117 14:07,120.3698,23.6628,1034,土庫鎮興新里
20200117 14:07,120.3742,23.6657,1037,土庫鎮興新里
20200117 14:07,120.3682,23.6597,1040,土庫鎮奮起里
20200117 14:08,120.3943,23.6983,1041,虎尾鎮東屯里
20200117 14:08,120.3861,23.6858,1042,土庫鎮石廟里
20200117 14:08,120.3903,23.6902,1043,土庫鎮石廟里
20200117 14:08,120.3990,23.7011,1044,虎尾鎮東屯里
20200117 14:08,120.3706,23.6630,1045,土庫鎮興新里
20200117 14:08,120.3959,23.7015,1046,虎尾鎮東屯里
20200117 14:08,120.3882,23.6860,1048,土庫鎮石廟里
20200117 14:08,120.4017,23.7010,1050,虎尾鎮東屯里
20200117 14:08,120.3990,23.7011,1051,虎尾鎮東屯里
20200117 14:08,120.3861,23.6858,1052,土庫鎮石廟里
20200117 14:08,120.3704,23.6629,1053,土庫鎮興新里
20200117 14:08,120.3976,23.7013,1054,虎尾鎮東屯里
20200117 14:08,120.3901,23.6953,1055,土庫鎮石廟里
20200117 14:08,120.3943,23.6983,1056,虎尾鎮東屯里
20200117 14:08,120.3993,23.7018,1057,虎尾鎮東屯里
20200117 14:08,120.3840,23.6838,1059,土庫鎮石廟里
20200117 14:09,120.4030,23.7083,1060,虎尾鎮北溪里
20200117 14:09,120.4076,23.7199,1062,虎尾鎮北溪里
20200117 14:09,120.4004,23.7068,1065,虎尾鎮東屯里
20200117 14:09,120.4043,23.7094,1066,虎尾鎮建國里
20200117 14:09,120.4077,23.7248,1067,虎尾鎮北溪里
20200117 14:09,120.4080,23.7184,1068,虎尾鎮北溪里
20200117 14:09,120.4043,23.7094,1069,虎尾鎮建國里
20200117 14:09,120.4022,23.7079,1070,虎尾鎮北溪里
20200117 14:09,120.4111,23.7204,1072,虎尾鎮北溪里
20200117 14:09,120.4036,23.7088,1073,虎尾鎮北溪里
20200117 14:09,120.4076,23.7199,1074,虎尾鎮北溪里
20200117 14:09,120.4004,23.7068,1075,虎尾鎮東屯里
20200117 14:09,120.4036,23.7088,1076,虎尾鎮北溪里
20200117 14:09,120.4130,23.7221,1078,虎尾鎮北溪里
20200117 14:09,120.4084,23.7213,1079,虎尾鎮北溪里
20200117 14:09,120.4043,23.7094,1080,虎尾鎮建國里
20200117 14:09,120.4004,23.7068,1081,虎尾鎮東屯里
20200117 14:09,120.4030,23.7083,1082,虎尾鎮北溪里
20200117 14:09,120.4084,23.7213,1083,虎尾鎮北溪里
20200117 14:09,120.4069,23.7127,1084,虎尾鎮建國里
20200117 14:09,120.4107,23.7219,1085,虎尾鎮北溪里
20200117 14:10,120.4155,23.7295,1086,虎尾鎮廉使里
20200117 14:10,120.4146,23.7352,1087,虎尾鎮廉使里
20200117 14:14,120.4273,23.7612,1088,二崙鄉田尾村
20200117 14:14,120.4160,23.7434,1089,虎尾鎮廉使里
20200117 14:14,120.4257,23.7569,1090,二崙鄉田尾村
20200117 14:14,120.4273,23.7612,1091,二崙鄉田尾村
20200117 14:14,120.4160,23.7434,1092,虎尾鎮廉使里
20200117 14:14,120.4184,23.7482,1093,二崙鄉湳仔村
20200117 14:14,120.4257,23.7569,1095,二崙鄉田尾村
20200117 14:15,120.4316,23.7701,1096,西螺鎮下湳里
20200117 14:15,120.4273,23.7612,1097,二崙鄉田尾村
20200117 14:15,120.4298,23.7661,1098,二崙鄉崙東村
20200117 14:20,120.5750,23.8695,1100,田中鎮龍潭里
20200117 14:20,120.5733,23.8722,1101,田中鎮龍潭里
20200117 14:25,120.5872,23.8703,1103,田中鎮中潭里
20200117 14:25,120.5901,23.8837,1104,社頭鄉里仁村
20200117 14:25,120.5868,23.8805,1106,社頭鄉里仁村
20200117 14:25,120.5883,23.8838,1107,社頭鄉里仁村
20200117 14:25,120.5872,23.8703,1110,田中鎮中潭里
20200117 14:26,120.6104,23.9011,1111,社頭鄉山湖村
20200117 14:26,120.6092,23.9067,1112,社頭鄉朝興村
20200117 14:26,120.6037,23.9033,1113,社頭鄉朝興村
20200117 14:26,120.6104,23.9011,1120,社頭鄉山湖村
20200117 14:26,120.5986,23.8907,1121,社頭鄉清水村
20200117 14:26,120.6025,23.9033,1122,社頭鄉朝興村
20200117 14:26,120.6090,23.9077,1127,社頭鄉朝興村
20200117 14:26,120.6031,23.8927,1128,社頭鄉山湖村
20200117 14:33,120.6154,24.1121,1129,烏日區三和里
20200117 14:40,120.6384,24.2235,1131,大雅區秀山里
