datetime,x,y,seq
20200117 12:45,120.4173,23.5524,840
20200117 12:45,120.4144,23.5509,841
20200117 12:45,120.4148,23.5526,842
20200117 12:45,120.4172,23.5524,843
20200117 12:45,120.4148,23.5526,844
20200117 12:46,120.4127,23.5456,845
20200117 12:46,120.4114,23.5420,846
20200117 12:47,120.4055,23.5340,847
20200117 12:48,120.4027,23.5107,849
20200117 12:50,120.3926,23.4969,852
20200117 12:50,120.3966,23.5004,853
20200117 12:50,120.3988,23.5029,854
20200117 12:50,120.3913,23.4933,855
20200117 12:50,120.3950,23.4988,856
20200117 12:51,120.3820,23.4815,859
20200117 12:51,120.3886,23.4839,860
20200117 12:51,120.3821,23.4812,861
20200117 12:51,120.3886,23.4839,862
20200117 12:51,120.3821,23.4812,863
20200117 12:52,120.3808,23.4787,864
20200117 12:53,120.3762,23.4643,867
20200117 12:54,120.3711,23.4508,875
20200117 12:54,120.3693,23.4476,877
20200117 12:54,120.3650,23.4451,878
20200117 12:55,120.3616,23.4503,879
20200117 12:55,120.3590,23.4474,881
20200117 12:55,120.3638,23.4458,885
20200117 12:56,120.3578,23.4479,887
20200117 12:57,120.3484,23.4511,890
20200117 12:58,120.3449,23.4520,892
20200117 12:58,120.3423,23.4524,893
20200117 12:58,120.3449,23.4521,894
20200117 12:58,120.3393,23.4528,895
20200117 12:58,120.3418,23.4524,897
20200117 12:59,120.3287,23.4544,898
20200117 12:59,120.3354,23.4534,899
20200117 12:59,120.3322,23.4539,900
20200117 12:59,120.3372,23.4530,901
20200117 12:59,120.3349,23.4535,902
20200117 12:59,120.3316,23.4539,903
20200117 13:00,120.3301,23.4542,904
20200117 13:00,120.3285,23.4545,906
20200117 13:00,120.3301,23.4542,912
20200117 13:00,120.3281,23.4546,914
20200117 13:02,120.3270,23.4592,916
20200117 13:02,120.3268,23.4574,917
20200117 13:02,120.3264,23.4609,920
20200117 13:04,120.3244,23.4576,922
20200117 13:05,120.3267,23.4570,923
20200117 13:10,120.3231,23.4556,925
20200117 13:10,120.3231,23.4635,929
20200117 13:11,120.3268,23.4574,930
20200117 13:15,120.3239,23.4575,932
20200117 13:23,120.3233,23.4592,937
20200117 13:23,120.3233,23.4557,938
20200117 13:23,120.3268,23.4574,940
20200117 13:26,120.3234,23.4588,944
20200117 13:26,120.3233,23.4557,945
20200117 13:27,120.3234,23.4588,946
20200117 13:39,120.3258,23.4579,965
20200117 13:39,120.3232,23.4591,966
20200117 13:40,120.3252,23.4578,967
20200117 13:47,120.3235,23.4554,984
20200117 13:49,120.3253,23.4711,985
20200117 13:49,120.3252,23.4579,986
20200117 13:54,120.3230,23.4569,992
20200117 13:54,120.3251,23.4581,993
20200117 13:55,120.3230,23.4569,996
20200117 13:59,120.3252,23.4576,1004
20200117 14:00,120.3147,23.4746,1006
20200117 14:00,120.3269,23.4587,1007
20200117 14:00,120.3251,23.4909,1008
20200117 14:00,120.3233,23.4558,1009
20200117 14:02,120.3319,23.4970,1011
20200117 14:02,120.3261,23.5029,1012
20200117 14:03,120.3319,23.5180,1013
20200117 14:03,120.3274,23.5379,1014
20200117 14:04,120.3302,23.5566,1015
20200117 14:04,120.3288,23.5494,1016
20200117 14:04,120.3296,23.5533,1017
20200117 14:04,120.3295,23.5697,1018
20200117 14:04,120.3294,23.5538,1019
20200117 14:05,120.3302,23.5701,1020
20200117 14:05,120.3309,23.6038,1021
20200117 14:05,120.3299,23.5893,1022
20200117 14:05,120.3331,23.5970,1023
20200117 14:05,120.3329,23.6101,1024
20200117 14:05,120.3339,23.6149,1025
20200117 14:05,120.3331,23.5970,1026
20200117 14:05,120.3328,23.6095,1027
20200117 14:06,120.3458,23.6295,1028
20200117 14:06,120.3513,23.6316,1029
20200117 14:06,120.3520,23.6372,1030
20200117 14:06,120.3513,23.6316,1031
20200117 14:06,120.3453,23.6413,1033
20200117 14:07,120.3698,23.6628,1034
20200117 14:07,120.3742,23.6657,1037
20200117 14:07,120.3698,23.6628,1038
20200117 14:07,120.3682,23.6597,1040
20200117 14:08,120.3943,23.6983,1041
20200117 14:08,120.3861,23.6858,1042
20200117 14:08,120.3903,23.6902,1043
20200117 14:08,120.3990,23.7011,1044
20200117 14:08,120.3706,23.6630,1045
20200117 14:08,120.3959,23.7015,1046
20200117 14:08,120.3704,23.6629,1047
20200117 14:08,120.3882,23.6860,1048
20200117 14:08,120.3870,23.6851,1049
20200117 14:08,120.4017,23.7010,1050
20200117 14:08,120.3990,23.7011,1051
20200117 14:08,120.3861,23.6858,1052
20200117 14:08,120.3704,23.6629,1053
20200117 14:08,120.3976,23.7013,1054
20200117 14:08,120.3901,23.6953,1055
20200117 14:08,120.3943,23.6983,1056
