datetime,x,y,seq
20200117 14:02,120.3261,23.5029,1012
20200117 14:03,120.3319,23.5180,1013
20200117 14:03,120.3274,23.5379,1014
20200117 14:04,120.3302,23.5566,1015
20200117 14:04,120.3288,23.5494,1016
20200117 14:04,120.3296,23.5533,1017
20200117 14:04,120.3295,23.5697,1018
20200117 14:04,120.3294,23.5538,1019
20200117 14:05,120.3302,23.5701,1020
20200117 14:05,120.3309,23.6038,1021
20200117 14:05,120.3299,23.5893,1022
20200117 14:05,120.3331,23.5970,1023
20200117 14:05,120.3329,23.6101,1024
20200117 14:05,120.3339,23.6149,1025
20200117 14:05,120.3331,23.5970,1026
20200117 14:05,120.3328,23.6095,1027
20200117 14:06,120.3458,23.6295,1028
20200117 14:06,120.3513,23.6316,1029
20200117 14:06,120.3520,23.6372,1030
20200117 14:06,120.3513,23.6316,1031
20200117 14:06,120.3453,23.6413,1033
20200117 14:07,120.3698,23.6628,1034
20200117 14:07,120.3742,23.6657,1037
20200117 14:07,120.3698,23.6628,1038
20200117 14:07,120.3682,23.6597,1040
20200117 14:08,120.3943,23.6983,1041
20200117 14:08,120.3861,23.6858,1042
20200117 14:08,120.3903,23.6902,1043
20200117 14:08,120.3990,23.7011,1044
20200117 14:08,120.3706,23.6630,1045
20200117 14:08,120.3959,23.7015,1046
20200117 14:08,120.3704,23.6629,1047
20200117 14:08,120.3882,23.6860,1048
20200117 14:08,120.4017,23.7010,1050
20200117 14:08,120.3990,23.7011,1051
20200117 14:08,120.3861,23.6858,1052
20200117 14:08,120.3704,23.6629,1053
20200117 14:08,120.3976,23.7013,1054
20200117 14:08,120.3901,23.6953,1055
20200117 14:08,120.3943,23.6983,1056
20200117 14:08,120.3993,23.7018,1057
20200117 14:08,120.3840,23.6838,1059
20200117 14:09,120.4030,23.7083,1060
20200117 14:09,120.4076,23.7199,1062
20200117 14:09,120.4029,23.7082,1063
20200117 14:09,120.4004,23.7068,1065
20200117 14:09,120.4043,23.7094,1066
20200117 14:09,120.4077,23.7248,1067
20200117 14:09,120.4080,23.7184,1068
20200117 14:09,120.4043,23.7094,1069
20200117 14:09,120.4022,23.7079,1070
20200117 14:09,120.4111,23.7204,1072
20200117 14:09,120.4036,23.7088,1073
20200117 14:09,120.4076,23.7199,1074
20200117 14:09,120.4004,23.7068,1075
20200117 14:09,120.4036,23.7088,1076
20200117 14:09,120.4130,23.7221,1078
20200117 14:09,120.4084,23.7213,1079
20200117 14:09,120.4043,23.7094,1080
20200117 14:09,120.4004,23.7068,1081
20200117 14:09,120.4030,23.7083,1082
20200117 14:09,120.4084,23.7213,1083
20200117 14:09,120.4069,23.7127,1084
20200117 14:09,120.4107,23.7219,1085
20200117 14:10,120.4155,23.7295,1086
20200117 14:10,120.4146,23.7352,1087
20200117 14:14,120.4273,23.7612,1088
20200117 14:14,120.4160,23.7434,1089
20200117 14:14,120.4257,23.7569,1090
20200117 14:14,120.4273,23.7612,1091
20200117 14:14,120.4160,23.7434,1092
20200117 14:14,120.4184,23.7482,1093
20200117 14:14,120.4257,23.7569,1095
20200117 14:15,120.4316,23.7701,1096
20200117 14:15,120.4273,23.7612,1097
20200117 14:15,120.4298,23.7661,1098
20200117 14:15,120.4265,23.7608,1099
20200117 14:20,120.5750,23.8695,1100
20200117 14:20,120.5733,23.8722,1101
20200117 14:25,120.5872,23.8703,1103
20200117 14:25,120.5901,23.8837,1104
20200117 14:25,120.5868,23.8805,1106
